102065,99.99,0.0 ---RF,MLP
100247,99.99,0.0 ---RF,MLP
+14006,0.0,1.0
+162573,0.0,1.0
-118111,0.0,1.0 ---BYS
+20557,0.0,1.0
+221233,0.0,1.0
100188,99.99,0.0 ---BYS,GBT
-337533,0.0,1.0 ---GBT
86471,99.99,1.0 ---RF,MLP
-167949,0.0,1.0 --GBT
-220488,0.0,1.0 --GBT
127505,0.0,1.0
185484,0.0,1.0
44919,0.0,1.0
300879,0.0,1.0
102039,99.99,0.0
100745,99.99,0.0
65271,0.0,1.0
101312,1.0,0.0
100536,99.99,0.0
228843,0.0,1.0
101691,1.0,0.0
238071,0.0,1.0
101687,99.99,0.0
95456,0.0,1.0
100032,99.99,0.0
185647,0.0,1.0
62408,0.0,1.0
252687,0.0,1.0
324874,0.0,1.0
58019,0.0,1.0
323032,0.0,1.0
100688,99.99,0.0
169240,0.0,1.0
100275,99.99,0.0
105156,0.0,1.0
100039,99.99,0.0
305916,99.99,1.0
88479,0.0,1.0
102181,1.0,0.0
184648,0.0,1.0
102215,99.99,0.0
102827,1.0,0.0
209471,0.0,1.0
146201,0.0,1.0
45540,0.0,1.0
317747,0.0,1.0
124503,0.0,1.0
19323,0.0,1.0
153283,0.0,1.0
298109,0.0,1.0
141103,0.0,1.0
100234,99.99,0.0
4583,0.0,1.0
84049,0.0,1.0
112785,0.0,1.0
190146,0.0,1.0
276969,0.0,1.0
301741,0.0,1.0
56465,0.0,1.0
