100205,none,exist,withoutInvoice,withinOneMonth,none,1
100207,none,none,withoutInvoice,withoutInvoice,none,1
100454,none,exist,withoutInvoice,withoutMonth,none,1
100516,exist,none,withinOneMonth,withoutInvoice,none,1
100546,exist,exist,withinOneMonth,withinOneMonth,none,1
100687,exist,exist,withinTwoMonth,withinOneMonth,none,1
100709,exist,none,withinOneMonth,withoutInvoice,none,1
100933,exist,exist,withinOneMonth,withinOneMonth,none,1
100951,none,exist,withoutInvoice,withinOneMonth,none,1
10117,exist,none,withinOneMonth,withoutInvoice,none,1
101202,exist,exist,withinOneMonth,withinOneMonth,none,1
101217,exist,none,withinOneMonth,withoutInvoice,high,1
101253,exist,none,withoutMonth,withoutInvoice,none,1
101297,exist,exist,withinOneMonth,withinOneMonth,none,1
101391,exist,none,withinOneMonth,withoutInvoice,none,1
101462,none,exist,withoutInvoice,withinOneMonth,none,1
101481,none,exist,withoutInvoice,withinOneMonth,none,1
101628,exist,none,withinOneMonth,withoutInvoice,low,1
101652,exist,none,withinOneMonth,withoutInvoice,none,1
101942,exist,none,withinOneMonth,withoutInvoice,none,1
102046,exist,exist,withinTwoMonth,withinTwoMonth,low,1
102466,exist,exist,withinOneMonth,withinOneMonth,none,1
102819,exist,exist,withinTwoMonth,withinOneMonth,low,1
10288,none,exist,withoutInvoice,withinOneMonth,none,1
103056,exist,none,withinOneMonth,withoutInvoice,none,1
103270,exist,none,withinTwoMonth,withoutInvoice,low,1
103944,exist,none,withinOneMonth,withoutInvoice,none,1
104324,exist,none,withinOneMonth,withoutInvoice,none,1
104373,exist,none,withinOneMonth,withoutInvoice,none,1
10448,none,none,withoutInvoice,withoutInvoice,none,1
104668,exist,none,withoutMonth,withoutInvoice,none,1
104889,exist,exist,withinOneMonth,withinOneMonth,low,1
104916,exist,none,withinTwoMonth,withoutInvoice,low,1
105047,exist,exist,withinOneMonth,withinOneMonth,none,1
105069,none,exist,withoutInvoice,withinOneMonth,none,1
105156,exist,exist,withinOneMonth,withinOneMonth,none,1
105177,none,none,withoutInvoice,withoutInvoice,none,1
105547,exist,none,withinOneMonth,withoutInvoice,low,1
105698,exist,none,withinOneMonth,withoutInvoice,none,1
106110,none,exist,withoutInvoice,withinTwoMonth,none,1
106157,exist,none,withinTwoMonth,withoutInvoice,low,1
106181,exist,none,withinOneMonth,withoutInvoice,low,1
106349,exist,none,withoutMonth,withoutInvoice,none,1
106509,exist,exist,withinOneMonth,withinTwoMonth,none,1
106821,none,exist,withoutInvoice,withinOneMonth,low,1
107037,exist,exist,withoutMonth,withinOneMonth,none,1
107503,exist,none,withinOneMonth,withoutInvoice,low,1
107639,exist,none,withinOneMonth,withoutInvoice,none,1
107700,exist,none,withinOneMonth,withoutInvoice,none,1
107766,exist,exist,withinOneMonth,withinTwoMonth,low,1
108419,none,none,withoutInvoice,withoutInvoice,none,1
108562,exist,exist,withinOneMonth,withinOneMonth,none,1
108668,exist,none,withinOneMonth,withoutInvoice,none,1
109503,exist,none,withinOneMonth,withoutInvoice,none,1
109639,exist,none,withinOneMonth,withoutInvoice,none,1
109669,exist,exist,withinOneMonth,withinOneMonth,low,1
109706,exist,none,withinOneMonth,withoutInvoice,none,1
109741,exist,exist,withinOneMonth,withinTwoMonth,none,1
109862,exist,none,withinOneMonth,withoutInvoice,none,1
109886,exist,exist,withinOneMonth,withinOneMonth,none,1
109888,exist,none,withinOneMonth,withoutInvoice,none,1
109914,none,none,withoutInvoice,withoutInvoice,none,1
110264,exist,none,withinOneMonth,withoutInvoice,low,1
110301,exist,none,withinTwoMonth,withoutInvoice,none,1
110497,none,exist,withoutInvoice,withinOneMonth,none,1
110500,exist,none,withinTwoMonth,withoutInvoice,low,1
110697,exist,none,withinOneMonth,withoutInvoice,none,1
110742,exist,none,withinOneMonth,withoutInvoice,none,1
110973,none,exist,withoutInvoice,withinOneMonth,none,1
111105,exist,none,withinOneMonth,withoutInvoice,none,1
111790,exist,exist,withinTwoMonth,withoutMonth,low,1
111861,exist,none,withinTwoMonth,withoutInvoice,low,1
111967,exist,none,withinOneMonth,withoutInvoice,low,1
112035,exist,none,withinOneMonth,withoutInvoice,low,1
112081,exist,none,withinOneMonth,withoutInvoice,none,1
112278,exist,exist,withoutMonth,withinOneMonth,none,1
112562,none,exist,withoutInvoice,withinOneMonth,none,1
112626,exist,none,withinOneMonth,withoutInvoice,low,1
112785,exist,exist,withinOneMonth,withinOneMonth,none,1
112813,exist,none,withinOneMonth,withoutInvoice,none,1
112865,exist,none,withinOneMonth,withoutInvoice,none,1
113031,exist,none,withinOneMonth,withoutInvoice,none,1
113053,exist,none,withinTwoMonth,withoutInvoice,none,1
113122,exist,none,withinOneMonth,withoutInvoice,none,1
11350,exist,none,withinOneMonth,withoutInvoice,none,1
